wall_time,event,object_id,class,grid,destination,status,message
2026-09-08 01:15:15,motion_command,object_blue_1,blue,r2c1,blue_sort_bin,,"pose=pick_above,gripper=0.120"
2026-09-08 01:15:16,motion_command,object_blue_1,blue,r2c1,blue_sort_bin,,"pose=pick_down,gripper=0.120"
2026-09-08 01:15:17,motion_command,object_blue_1,blue,r2c1,blue_sort_bin,,"pose=pick_down,gripper=-0.550"
2026-09-08 01:15:19,grasp_attached,object_blue_1,blue,r2c1,blue_sort_bin,passed,selected object attached to gripper pose
2026-09-08 01:15:19,motion_command,object_blue_1,blue,r2c1,blue_sort_bin,,"pose=lift,gripper=-0.550"
2026-09-08 01:15:20,motion_command,object_blue_1,blue,r2c1,blue_sort_bin,,"pose=place_above,gripper=-0.550"
2026-09-08 01:15:21,motion_command,object_blue_1,blue,r2c1,blue_sort_bin,,"pose=place_down,gripper=-0.550"
2026-09-08 01:15:22,release,object_blue_1,blue,r2c1,blue_sort_bin,passed,"destination=(0.46, -0.16, 0.105)"
2026-09-08 01:15:22,motion_command,object_blue_1,blue,r2c1,blue_sort_bin,,"pose=lift_clear,gripper=0.120"
2026-09-08 01:15:24,object_complete,object_blue_1,blue,r2c1,blue_sort_bin,passed,pick-place sequence complete
2026-09-08 01:15:24,motion_command,object_blue_2,blue,r3c2,blue_sort_bin,,"pose=pick_above,gripper=0.120"
2026-09-08 01:15:25,motion_command,object_blue_2,blue,r3c2,blue_sort_bin,,"pose=pick_down,gripper=0.120"
2026-09-08 01:15:26,motion_command,object_blue_2,blue,r3c2,blue_sort_bin,,"pose=pick_down,gripper=-0.550"
2026-09-08 01:15:27,grasp_attached,object_blue_2,blue,r3c2,blue_sort_bin,passed,selected object attached to gripper pose
2026-09-08 01:15:27,motion_command,object_blue_2,blue,r3c2,blue_sort_bin,,"pose=lift,gripper=-0.550"
2026-09-08 01:15:29,motion_command,object_blue_2,blue,r3c2,blue_sort_bin,,"pose=place_above,gripper=-0.550"
2026-09-08 01:15:30,motion_command,object_blue_2,blue,r3c2,blue_sort_bin,,"pose=place_down,gripper=-0.550"
